Date,tot_runoff_sb17
1950-01-01,5.085662841334449e-5
1950-01-02,3.221567623896253e-5
1950-01-03,3.064738028506206e-5
1950-01-04,3.0641702775538244e-5
1950-01-05,4.06333275198481e-5
1950-01-06,9.282751884955624e-5
1950-01-07,6.237050619734565e-5
1950-01-08,3.364405556978157e-5
1950-01-09,3.495196717645074e-5
1950-01-10,5.076400377163891e-5
1950-01-11,3.060128424310945e-5
1950-01-12,3.05960558702563e-5
1950-01-13,3.05909397815705e-5
1950-01-14,3.05859182678045e-5
1950-01-15,3.058097248933268e-5
1950-01-16,4.441788686763944e-5
1950-01-17,3.7008349822252465e-4
1950-01-18,8.110965577463949e-5
1950-01-19,1.6653179450448394e-4
1950-01-20,4.00830291443132e-4
1950-01-21,4.892500704233116e-4
1950-01-22,4.818834151537004e-4
1950-01-23,2.9051267774910015e-4
1950-01-24,4.386147623938391e-5
1950-01-25,3.207563640473088e-5
1950-01-26,4.374617547090853e-5
1950-01-27,5.931488511574302e-5
1950-01-28,8.718215650887322e-5
1950-01-29,3.639336920996194e-5
1950-01-30,3.417403307316089e-5
1950-01-31,3.298685671332301e-5
1950-02-01,3.5964732136214464e-5
1950-02-02,3.7551346459878006e-5
1950-02-03,6.772524672498954e-5
1950-02-04,7.766356365005596e-4
1950-02-05,0.001091934872057895
1950-02-06,6.095309781973325e-4
1950-02-07,3.453451348410378e-5
1950-02-08,3.252065563992604e-5
1950-02-09,4.760919734601531e-5
1950-02-10,7.017989783655686e-5
1950-02-11,4.1342866852888344e-5
1950-02-12,5.0577887422442734e-5
1950-02-13,5.962240254871827e-5
1950-02-14,1.2642590190771607e-4
1950-02-15,5.428013964916135e-4
1950-02-16,7.566697412728378e-4
1950-02-17,8.22635299795437e-4
1950-02-18,0.0013358872403433518
1950-02-19,0.0011991416762175658
1950-02-20,5.299906576884749e-4
1950-02-21,5.142672286882636e-4
1950-02-22,0.0010038056890908412
1950-02-23,0.0010959667401691426
1950-02-24,0.0013270013155880754
1950-02-25,0.001921583603431991
1950-02-26,0.0015302187233090022
1950-02-27,9.345440018949648e-4
1950-02-28,0.001069210573721154
1950-03-01,7.962065495553971e-4
1950-03-02,5.738494296675575e-4
1950-03-03,7.662474422941317e-4
1950-03-04,8.60470269783486e-4
1950-03-05,2.4080797825657758e-4
1950-03-06,1.056027652546181e-4
1950-03-07,1.8492696762364733e-4
1950-03-08,1.7624841186149128e-4
1950-03-09,1.534002203969489e-4
1950-03-10,1.633117798905066e-4
1950-03-11,1.6423637896851253e-4
1950-03-12,2.1126788320404805e-4
1950-03-13,1.7736890500935054e-4
1950-03-14,1.6547913940175918e-4
1950-03-15,1.6717407229670573e-4
1950-03-16,1.8439855298578513e-4
1950-03-17,2.9135520148740036e-4
1950-03-18,2.1833123400804904e-4
1950-03-19,5.217248140543482e-4
1950-03-20,2.0031176422648326e-4
1950-03-21,2.3858213102418988e-4
1950-03-22,4.19587926988388e-4
1950-03-23,6.136505349303475e-4
1950-03-24,6.371270792039942e-4
1950-03-25,2.9518005463915125e-4
1950-03-26,3.257818824920757e-4
1950-03-27,3.9124341837288727e-4
1950-03-28,9.747911044786349e-4
1950-03-29,0.0018005132764545898
1950-03-30,0.0020474406558594013
1950-03-31,0.0014456318732369762
1950-04-01,0.0017421023423879703
1950-04-02,0.001739190261505761
1950-04-03,0.0016802629837153885
1950-04-04,0.0016655103580822893
1950-04-05,0.001479238129606094
1950-04-06,0.001455568322416308
1950-04-07,0.0019578733838690305
1950-04-08,0.001368613210110281
1950-04-09,0.001482267573236564
1950-04-10,0.0014654563782954251
1950-04-11,0.0021277776426962603
1950-04-12,0.002179730582426381
1950-04-13,0.0019259429402277493
1950-04-14,0.0020778110521257154
1950-04-15,0.002767153039802981
1950-04-16,0.0029026870343286633
1950-04-17,0.0028295702931820424
1950-04-18,0.002806608809565919
1950-04-19,0.0029006275490838155
1950-04-20,0.002938894042997792
1950-04-21,0.0025380713963593883
1950-04-22,0.0022581280651037838
1950-04-23,0.002081968710931617
1950-04-24,0.001891539750267805
1950-04-25,0.0016987653985569954
1950-04-26,0.0015147167041473534
1950-04-27,0.0013556934541383077
1950-04-28,0.0012258287052197326
1950-04-29,0.0011205578929917922
1950-04-30,0.0010283460511193235
1950-05-01,9.16998124231394e-4
1950-05-02,9.011042883848383e-4
1950-05-03,8.509072609538417e-4
1950-05-04,7.900576607599959e-4
1950-05-05,0.0011417625056968168
1950-05-06,0.0011340140187436059
1950-05-07,8.200614872376166e-4
1950-05-08,7.93630883586075e-4
1950-05-09,6.680117383335116e-4
1950-05-10,6.265846458639973e-4
1950-05-11,5.757043894910505e-4
1950-05-12,5.196153741409696e-4
1950-05-13,4.6144858580500665e-4
1950-05-14,4.061575098300149e-4
1950-05-15,3.5129028678775476e-4
1950-05-16,2.983730851935922e-4
1950-05-17,2.522540621526348e-4
1950-05-18,2.1775148582555467e-4
1950-05-19,1.868179971677184e-4
1950-05-20,1.5289814117732718e-4
1950-05-21,1.2212919242798791e-4
1950-05-22,1.0036017087016446e-4
1950-05-23,8.758168081567688e-5
1950-05-24,7.883838528776509e-5
1950-05-25,7.145778332706653e-5
1950-05-26,6.551577440686333e-5
1950-05-27,6.11684340254102e-5
1950-05-28,5.806042791177423e-5
1950-05-29,5.649586812219744e-5
1950-05-30,5.575995031527731e-5
1950-05-31,5.50459628505196e-5
1950-06-01,4.306977433095039e-5
1950-06-02,4.253649858584692e-5
1950-06-03,4.2045817825806325e-5
1950-06-04,4.155397925560751e-5
1950-06-05,4.104193529361592e-5
1950-06-06,4.062181422505472e-5
1950-06-07,4.2012174093673394e-5
1950-06-08,4.013511881770993e-5
1950-06-09,3.9836043159153446e-5
1950-06-10,3.9503345671603894e-5
1950-06-11,3.917855063314995e-5
1950-06-12,3.888771488485474e-5
1950-06-13,3.857728830612006e-5
1950-06-14,3.824260400003906e-5
1950-06-15,3.790201730715299e-5
1950-06-16,3.756531536533208e-5
1950-06-17,3.722064271811955e-5
1950-06-18,3.682092595242307e-5
1950-06-19,3.635437812276957e-5
1950-06-20,3.581088863794441e-5
1950-06-21,3.523166137894498e-5
1950-06-22,3.467425168470383e-5
1950-06-23,3.415683253938893e-5
1950-06-24,3.3722638448807995e-5
1950-06-25,3.3282208585259156e-5
1950-06-26,3.2734020622255885e-5
1950-06-27,3.212417430191958e-5
1950-06-28,3.144661366077863e-5
1950-06-29,3.070418050388042e-5
1950-06-30,2.99208312630548e-5
1950-07-01,2.8573171870767336e-5
1950-07-02,2.7774950247065823e-5
1950-07-03,2.6973598910036877e-5
1950-07-04,2.621961770014131e-5
1950-07-05,2.551840994083603e-5
1950-07-06,2.485134157742452e-5
1950-07-07,2.4231215414526053e-5
1950-07-08,2.3631635478431112e-5
1950-07-09,2.3093257547626994e-5
1950-07-10,3.054179379825052e-5
1950-07-11,2.2114486383939515e-5
1950-07-12,2.1586947844433705e-5
1950-07-13,2.1010746899389857e-5
1950-07-14,2.0430921575842026e-5
1950-07-15,1.9885400494920698e-5
1950-07-16,1.9378101234852783e-5
1950-07-17,1.892216341750148e-5
1950-07-18,1.852006299329924e-5
1950-07-19,1.8149186714887792e-5
1950-07-20,1.779184111628195e-5
1950-07-21,1.7440082309672234e-005
1950-07-22,1.7109170428303365e-5
1950-07-23,1.680850548529355e-5
1950-07-24,1.6535302583187625e-5
1950-07-25,1.6297641211542132e-5
1950-07-26,1.611014311307111e-5
1950-07-27,1.5944208441977825e-5
1950-07-28,1.578992439807493e-5
1950-07-29,1.5665179788851423e-5
1950-07-30,1.5551464913287292e-5
1950-07-31,1.5448778146660817e-5
1950-08-01,2.6114859071192276e-5
1950-08-02,2.6006390977227496e-5
1950-08-03,2.5902436689803933e-5
1950-08-04,2.5817444678807957e-5
1950-08-05,2.5755406644835565e-5
1950-08-06,2.5703203481693722e-5
1950-08-07,2.5649859074365492e-5
1950-08-08,2.5599089101597398e-5
1950-08-09,2.555508336274352e-5
1950-08-10,2.5516371722967407e-5
1950-08-11,2.5484648956426867e-5
1950-08-12,2.545846552376119e-5
1950-08-13,2.543120178404074e-5
1950-08-14,2.5403523586896415e-5
1950-08-15,2.5382420867186562e-5
1950-08-16,2.5368366259247186e-5
1950-08-17,2.5354854140404812e-005
1950-08-18,2.534117301126053e-5
1950-08-19,2.5327120314241693e-5
1950-08-20,2.5315117397943774e-5
1950-08-21,2.5305552179228027e-5
1950-08-22,2.5296511826675975e-5
1950-08-23,2.528788338365332e-5
1950-08-24,2.527979594345608e-5
1950-08-25,2.527297077241026e-5
1950-08-26,2.5266952646788052e-5
1950-08-27,2.5260936219761918e-5
1950-08-28,2.5254921491331722e-5
1950-08-29,2.524890846149758e-5
1950-08-30,2.5242897130259387e-5
1950-08-31,2.5236885799021193e-5
1950-09-01,4.313086911789337e-5
1950-09-02,4.312059886814607e-5
1950-09-03,4.3110331522060095e-5
1950-09-04,4.310006453893196e-5
1950-09-05,4.308980300016833e-5
1950-09-06,4.3079544365065895e-5
1950-09-07,4.3069286092921553e-5
1950-09-08,4.305903036148042e-5
1950-09-09,4.304877753370035e-5
1950-09-10,4.303852760958171e-5
1950-09-11,4.3028280589124515e-5
1950-09-12,4.301803393162453e-5
1950-09-13,4.300779017778611e-5
1950-09-14,4.299755150535447e-5
1950-09-15,4.298731355883841e-5
1950-09-16,7.513771046076537e-5
1950-09-17,4.296684311017131e-5
1950-09-18,4.304212089034579e-5
1950-09-19,4.2946384276148694e-5
1950-09-20,4.2936160484981204e-5
1950-09-21,4.2925936693813585e-5
1950-09-22,4.291571616926488e-5
1950-09-23,4.2905495644716035e-5
1950-09-24,4.289528056453197e-5
1950-09-25,4.2885065847305886e-5
1950-09-26,4.287485367078287e-5
1950-09-27,4.2864647301582596e-5
1950-09-28,4.285444129534006e-5
1950-09-29,4.284423528909751e-5
1950-09-30,4.2834034727219605e-5
1950-10-01,3.5138712195966835e-5
1950-10-02,3.513034698182436e-5
1950-10-03,3.512198206550357e-5
1950-10-04,3.511361923393424e-5
1950-10-05,3.5105256998008124e-5
1950-10-06,3.509689893158482e-5
1950-10-07,3.508854116298346e-5
1950-10-08,3.508018786170656e-5
1950-10-09,3.507183485825096e-5
1950-10-10,3.506348393954707e-5
1950-10-11,3.5055135701238016e-5
1950-10-12,3.5046787462929075e-5
1950-10-13,3.5038443691944234e-5
1950-10-14,3.503010051660299e-5
1950-10-15,3.502175912819143e-5
1950-10-16,3.50134204201748e-5
1950-10-17,3.500508409473105e-5
1950-10-18,3.49967477692873e-5
1950-10-19,3.498841591116843e-5
1950-10-20,3.49800846486925e-5
1950-10-21,3.497175547096819e-5
1950-10-22,3.496342837799508e-5
1950-10-23,3.495510396541703e-5
1950-10-24,3.4946779850660543e-5
1950-10-25,6.60404481939263e-5
1950-10-26,8.482106990695362e-4
1950-10-27,0.0029662966435602227
1950-10-28,8.43153806502657e-4
1950-10-29,3.5882242973535485e-4
1950-10-30,3.763431217778377e-4
1950-10-31,1.6576252218081147e-4
1950-11-01,2.976835772584942e-5
1950-11-02,2.6013744691007684e-5
1950-11-03,2.6246864904707593e-5
1950-11-04,2.641577550023901e-5
1950-11-05,2.6540399442178786e-5
1950-11-06,2.663808626296968e-5
1950-11-07,2.6710207838147988e-5
1950-11-08,2.6758727808321057e-5
1950-11-09,2.6793315399253433e-5
1950-11-10,2.6825301171561575e-5
1950-11-11,2.6860671359367595e-5
1950-11-12,4.10050100324358e-5
1950-11-13,1.8957426100978307e-4
1950-11-14,9.543712310353724e-5
