WY,WYT
1949,3.0
1950,1.0
1951,1.0
1952,1.0
1953,2.0
1954,1.0
1955,1.0
1956,1.0
1957,1.0
1958,1.0
1959,2.0
1960,2.0
1961,2.0
1962,1.0
1963,1.0
1964,2.0
1965,1.0
1966,2.0
1967,1.0
1968,2.0
1969,1.0
1970,1.0
1971,2.0
1972,2.0
1973,1.0
1974,1.0
1975,1.0
1976,2.0
1977,2.0
1978,1.0
1979,1.0
1980,1.0
1981,2.0
1982,1.0
1983,1.0
1984,1.0
1985,2.0
1986,1.0
1987,2.0
1988,2.0
1989,2.0
1990,2.0
1991,1.0
1992,2.0
1993,1.0
1994,2.0
1995,1.0
1996,1.0
1997,1.0
1998,1.0
1999,1.0
2000,1.0
2001,2.0
2002,1.0
2003,1.0
2004,2.0
2005,1.0
2006,1.0
2007,2.0
2008,2.0
2009,1.0
2010,1.0
2011,1.0
2012,2.0
2013,2.0
